Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.9073486e-06,2.48000e+00,1.76000e+00,
7.3261256e-03,2.48000e+00,1.76000e+00,
1.4650344e-02,2.48000e+00,1.76000e+00,
2.1974562e-02,2.48000e+00,1.76000e+00,
2.9298780e-02,2.48000e+00,1.76000e+00,
3.6622997e-02,2.48000e+00,1.76000e+00,
4.3947216e-02,2.48000e+00,1.76000e+00,
5.1271435e-02,2.48000e+00,1.76000e+00,
5.8595654e-02,2.48000e+00,1.76000e+00,
6.5919869e-02,2.48000e+00,1.76000e+00,
7.3244087e-02,2.48000e+00,1.76000e+00,
8.0568306e-02,2.48000e+00,1.76000e+00,
8.7892525e-02,2.48000e+00,1.76000e+00,
9.5216744e-02,2.48000e+00,1.76000e+00,
1.0254096e-01,2.48000e+00,1.76000e+00,
1.0986518e-01,2.56000e+00,1.12000e+00,
1.1718940e-01,2.72000e+00,1.36000e+00,
1.2451362e-01,2.80000e+00,1.28000e+00,
1.3183783e-01,2.96000e+00,1.84000e+00,
1.3916205e-01,3.04000e+00,2.48000e+00,
1.4648627e-01,3.12000e+00,2.64000e+00,
1.5381049e-01,3.20000e+00,3.52000e+00,
1.6113470e-01,3.28000e+00,3.84000e+00,
1.6845892e-01,3.36000e+00,3.92000e+00,
1.7578314e-01,3.52000e+00,4.72000e+00,
1.8310736e-01,3.52000e+00,4.72000e+00,
1.9043158e-01,3.52000e+00,4.56000e+00,
1.9775580e-01,3.52000e+00,5.12000e+00,
2.0508002e-01,3.60000e+00,4.88000e+00,
2.1240424e-01,3.76000e+00,4.80000e+00,
2.1972845e-01,3.76000e+00,4.80000e+00,
2.2705267e-01,3.84000e+00,3.76000e+00,
2.3437689e-01,3.84000e+00,3.92000e+00,
2.4170111e-01,3.92000e+00,3.44000e+00,
2.4902533e-01,3.92000e+00,2.64000e+00,
2.5634953e-01,4.00000e+00,2.80000e+00,
2.6367375e-01,4.00000e+00,2.16000e+00,
2.7099797e-01,4.00000e+00,2.16000e+00,
2.7832219e-01,4.08000e+00,2.16000e+00,
2.8564641e-01,4.08000e+00,1.68000e+00,
2.9297063e-01,4.08000e+00,1.76000e+00,
