# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.415348
294.433594	-14.178982
399.902344	-13.849853
499.511719	-14.811971
704.589844	-15.116655

# Spectral Data
f in Hz	A in dBV
0.000000	-14.701553
1.464844	-13.932566
2.929687	-13.290463
4.394531	-12.760972
5.859375	-12.324541
7.324219	-12.007063
8.789062	-11.818976
10.253906	-11.715557
11.718750	-11.687335
13.183594	-11.749456
14.648437	-11.854279
16.113281	-12.004381
17.578125	-12.160411
19.042969	-12.280711
20.507812	-12.389112
21.972656	-12.506362
23.437500	-12.592164
24.902344	-12.668453
26.367187	-12.730458
27.832031	-12.769270
29.296875	-12.808386
30.761719	-12.865017
32.226562	-12.942336
33.691406	-13.003098
35.156250	-13.061150
36.621094	-13.114522
38.085937	-13.171902
39.550781	-13.234470
41.015625	-13.282135
42.480469	-13.311328
43.945312	-13.358069
45.410156	-13.399245
46.875000	-13.414877
48.339844	-13.393407
49.804687	-13.222808
51.269531	-12.829758
52.734375	-12.398577
54.199219	-12.128542
55.664062	-12.028450
57.128906	-12.084045
58.593750	-12.307247
60.058594	-12.687342
61.523437	-13.088801
62.988281	-13.272349
64.453125	-13.271016
65.917969	-13.245552
67.382812	-13.192250
68.847656	-13.149284
70.312500	-13.109244
71.777344	-13.102157
73.242187	-13.090366
74.707031	-13.088665
76.171875	-13.084480
77.636719	-13.111099
79.101562	-13.132528
80.566406	-13.159439
82.031250	-13.165450
83.496094	-13.179916
84.960937	-13.224327
86.425781	-13.262762
87.890625	-13.328620
89.355469	-13.382657
90.820312	-13.414099
92.285156	-13.460423
93.750000	-13.471960
95.214844	-13.483669
96.679687	-13.476742
98.144531	-13.507025
99.609375	-13.544925
101.074219	-13.556071
102.539062	-13.508327
104.003906	-13.437467
105.468750	-13.408826
106.933594	-13.433885
108.398437	-13.482735
109.863281	-13.513005
111.328125	-13.504995
112.792969	-13.483734
114.257812	-13.419026
115.722656	-13.356450
117.187500	-13.290613
118.652344	-13.229224
120.117187	-13.167923
121.582031	-13.120209
123.046875	-13.095897
124.511719	-13.100280
125.976562	-13.080555
127.441406	-13.054782
128.906250	-12.965371
130.371094	-12.824154
131.835937	-12.695636
133.300781	-12.554200
134.765625	-12.427194
136.230469	-12.337267
137.695312	-12.308447
139.160156	-12.324363
140.625000	-12.413283
142.089844	-12.580644
143.554687	-12.800465
145.019531	-13.006286
146.484375	-13.196337
147.949219	-13.346135
149.414062	-13.429936
150.878906	-13.403739
152.343750	-13.131725
153.808594	-12.836811
155.273437	-12.689758
156.738281	-12.706696
158.203125	-12.891815
159.667969	-13.248611
161.132812	-13.727136
162.597656	-14.096319
164.062500	-14.219188
165.527344	-14.265244
166.992187	-14.301864
168.457031	-14.333324
169.921875	-14.349867
171.386719	-14.368333
172.851562	-14.373178
174.316406	-14.398394
175.781250	-14.421426
177.246094	-14.413267
178.710937	-14.409965
180.175781	-14.415348
181.640625	-14.400891
183.105469	-14.415927
184.570312	-14.443477
186.035156	-14.472329
187.500000	-14.480971
188.964844	-14.456639
190.429687	-14.454740
191.894531	-14.465421
193.359375	-14.453697
194.824219	-14.420475
196.289062	-14.379497
197.753906	-14.347959
199.218750	-14.332721
200.683594	-14.322917
202.148437	-14.300097
203.613281	-14.268823
205.078125	-14.237079
206.542969	-14.207772
208.007812	-14.178364
209.472656	-14.154202
210.937500	-14.126211
212.402344	-14.103429
213.867187	-14.085098
215.332031	-14.077976
216.796875	-14.056904
218.261719	-14.027077
219.726562	-13.995362
221.191406	-13.992039
222.656250	-13.958505
224.121094	-13.919160
225.585937	-13.851293
227.050781	-13.808906
228.515625	-13.764447
229.980469	-13.742078
231.445312	-13.691167
232.910156	-13.679557
234.375000	-13.661447
235.839844	-13.638811
237.304687	-13.614984
238.769531	-13.569864
240.234375	-13.526925
241.699219	-13.502181
243.164062	-13.473773
244.628906	-13.455462
246.093750	-13.412748
247.558594	-13.375668
249.023437	-13.333448
250.488281	-13.272898
251.953125	-13.183273
253.417969	-13.084525
254.882812	-13.018217
256.347656	-12.960460
257.812500	-12.918301
259.277344	-12.892528
260.742187	-12.845585
262.207031	-12.792018
263.671875	-12.694090
265.136719	-12.636096
266.601562	-12.557575
268.066406	-12.501378
269.531250	-12.447658
270.996094	-12.419594
272.460937	-12.438552
273.925781	-12.513444
275.390625	-12.606457
276.855469	-12.719741
278.320312	-12.847889
279.785156	-12.973386
281.250000	-13.117624
282.714844	-13.249276
284.179687	-13.358665
285.644531	-13.487731
287.109375	-13.633391
288.574219	-13.751772
290.039062	-13.839637
291.503906	-13.944014
292.968750	-14.059881
294.433594	-14.178982
295.898437	-14.266646
297.363281	-14.327593
298.828125	-14.377462
300.292969	-14.417142
301.757812	-14.463438
303.222656	-14.479198
304.687500	-14.495260
306.152344	-14.526999
307.617187	-14.569260
309.082031	-14.607683
310.546875	-14.662588
312.011719	-14.736672
313.476562	-14.797828
314.941406	-14.872275
316.406250	-14.939858
317.871094	-15.017670
319.335937	-15.073379
320.800781	-15.133997
322.265625	-15.194522
323.730469	-15.241480
325.195312	-15.282447
326.660156	-15.283608
328.125000	-15.283226
329.589844	-15.290249
331.054687	-15.304825
332.519531	-15.329748
333.984375	-15.341730
335.449219	-15.364324
336.914062	-15.367071
338.378906	-15.386845
339.843750	-15.421556
341.308594	-15.418872
342.773437	-15.424761
344.238281	-15.452438
345.703125	-15.452038
347.167969	-15.466692
348.632812	-15.448184
350.097656	-15.210780
351.562500	-14.703227
353.027344	-14.276061
354.492187	-14.027548
355.957031	-13.948570
357.421875	-14.035479
358.886719	-14.292369
360.351562	-14.719681
361.816406	-15.178940
363.281250	-15.359792
364.746094	-15.351223
366.210937	-15.333177
367.675781	-15.336513
369.140625	-15.301111
370.605469	-15.292866
372.070312	-15.259374
373.535156	-15.212810
375.000000	-15.189847
376.464844	-15.148195
377.929687	-15.110040
379.394531	-15.038413
380.859375	-15.008279
382.324219	-14.970085
383.789062	-14.900076
385.253906	-14.831358
386.718750	-14.773669
388.183594	-14.733863
389.648437	-14.659891
391.113281	-14.588896
392.578125	-14.485241
394.042969	-14.359763
395.507812	-14.216955
396.972656	-14.071013
398.437500	-13.972137
399.902344	-13.849853
401.367187	-13.781727
402.832031	-13.743453
404.296875	-13.737956
405.761719	-13.795053
407.226562	-13.852786
408.691406	-13.963463
410.156250	-14.090605
411.621094	-14.196290
413.085937	-14.280272
414.550781	-14.385673
416.015625	-14.451422
417.480469	-14.503101
418.945312	-14.566819
420.410156	-14.649665
421.875000	-14.695450
423.339844	-14.724747
424.804687	-14.779349
426.269531	-14.833984
427.734375	-14.856576
429.199219	-14.838620
430.664062	-14.839482
432.128906	-14.865021
433.593750	-14.862553
435.058594	-14.888565
436.523437	-14.920981
437.988281	-14.918750
439.453125	-14.905161
440.917969	-14.887320
442.382812	-14.859480
443.847656	-14.842266
445.312500	-14.843592
446.777344	-14.827871
448.242187	-14.843748
449.707031	-14.792936
451.171875	-14.526046
452.636719	-14.120253
454.101562	-13.829283
455.566406	-13.705354
457.031250	-13.748103
458.496094	-13.957385
459.960937	-14.311937
461.425781	-14.614383
462.890625	-14.715775
464.355469	-14.740419
465.820312	-14.739808
467.285156	-14.735467
468.750000	-14.723299
470.214844	-14.740831
471.679687	-14.760159
473.144531	-14.764524
474.609375	-14.750298
476.074219	-14.734341
477.539062	-14.719419
479.003906	-14.722246
480.468750	-14.718544
481.933594	-14.733852
483.398437	-14.728400
484.863281	-14.731326
486.328125	-14.726760
487.792969	-14.731507
489.257812	-14.723671
490.722656	-14.731845
492.187500	-14.747233
493.652344	-14.760610
495.117187	-14.771645
496.582031	-14.788721
498.046875	-14.805357
499.511719	-14.811971
500.976562	-14.820522
502.441406	-14.831579
503.906250	-14.856070
505.371094	-14.852761
506.835937	-14.840135
508.300781	-14.828198
509.765625	-14.819052
511.230469	-14.815638
512.695312	-14.821502
514.160156	-14.793309
515.625000	-14.777770
517.089844	-14.748493
518.554687	-14.739694
520.019531	-14.730338
521.484375	-14.697339
522.949219	-14.676121
524.414062	-14.653285
525.878906	-14.616826
527.343750	-14.565341
528.808594	-14.476992
530.273437	-14.402323
531.738281	-14.337513
533.203125	-14.262232
534.667969	-14.193514
536.132812	-14.142759
537.597656	-14.093761
539.062500	-14.099706
540.527344	-14.164284
541.992187	-14.276387
543.457031	-14.409135
544.921875	-14.531225
546.386719	-14.652121
547.851562	-14.774380
549.316406	-14.862522
550.781250	-14.814375
552.246094	-14.590593
553.710937	-14.299563
555.175781	-14.128169
556.640625	-14.120338
558.105469	-14.277307
559.570312	-14.597173
561.035156	-15.026883
562.500000	-15.352117
563.964844	-15.482991
565.429687	-15.548312
566.894531	-15.595267
568.359375	-15.626962
569.824219	-15.663017
571.289062	-15.714797
572.753906	-15.761338
574.218750	-15.773337
575.683594	-15.802849
577.148437	-15.826751
578.613281	-15.841421
580.078125	-15.855244
581.542969	-15.869486
583.007812	-15.922841
584.472656	-15.950940
585.937500	-15.941437
587.402344	-15.940824
588.867187	-15.955905
590.332031	-15.976402
591.796875	-15.981492
593.261719	-15.977202
594.726562	-15.959194
596.191406	-15.967647
597.656250	-15.981302
599.121094	-15.992588
600.585937	-16.024812
602.050781	-16.009184
603.515625	-16.006780
604.980469	-15.995525
606.445312	-15.996421
607.910156	-15.998372
609.375000	-16.001805
610.839844	-16.010717
612.304687	-16.012412
613.769531	-16.012248
615.234375	-16.009884
616.699219	-15.995977
618.164062	-15.989645
619.628906	-15.971642
621.093750	-15.948365
622.558594	-15.961132
624.023437	-15.963543
625.488281	-15.926340
626.953125	-15.877066
628.417969	-15.859471
629.882812	-15.842055
631.347656	-15.846304
632.812500	-15.846144
634.277344	-15.786875
635.742187	-15.737976
637.207031	-15.701485
638.671875	-15.676527
640.136719	-15.630077
641.601562	-15.593137
643.066406	-15.565193
644.531250	-15.537550
645.996094	-15.487961
647.460937	-15.450252
648.925781	-15.369762
650.390625	-15.223949
651.855469	-15.002810
653.320312	-14.732758
654.785156	-14.547447
656.250000	-14.483093
657.714844	-14.538977
659.179687	-14.610064
660.644531	-14.617062
662.109375	-14.552410
663.574219	-14.436990
665.039062	-14.329827
666.503906	-14.254246
667.968750	-14.181446
669.433594	-14.140609
670.898437	-14.118348
672.363281	-14.147063
673.828125	-14.198436
675.292969	-14.269051
676.757812	-14.338857
678.222656	-14.439364
679.687500	-14.505883
681.152344	-14.558940
