# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.083661
313.476562	-14.437041
416.015625	-14.577601
520.019531	-14.056776
692.871094	-14.851352

# Spectral Data
f in Hz	A in dBV
0.000000	-14.161875
1.464844	-13.419807
2.929687	-12.803672
4.394531	-12.317586
5.859375	-11.958446
7.324219	-11.708610
8.789062	-11.582637
10.253906	-11.539871
11.718750	-11.561551
13.183594	-11.657681
14.648437	-11.808830
16.113281	-11.928750
17.578125	-12.058095
19.042969	-12.193081
20.507812	-12.295315
21.972656	-12.386519
23.437500	-12.459022
24.902344	-12.526619
26.367187	-12.562649
27.832031	-12.613645
29.296875	-12.668747
30.761719	-12.728464
32.226562	-12.792784
33.691406	-12.832347
35.156250	-12.866032
36.621094	-12.868064
38.085937	-12.901525
39.550781	-12.937448
41.015625	-12.965522
42.480469	-13.026366
43.945312	-13.067383
45.410156	-13.086364
46.875000	-13.117730
48.339844	-13.112193
49.804687	-13.057950
51.269531	-12.906775
52.734375	-12.690966
54.199219	-12.486464
55.664062	-12.401092
57.128906	-12.476857
58.593750	-12.690154
60.058594	-12.941337
61.523437	-13.104650
62.988281	-13.175463
64.453125	-13.192360
65.917969	-13.165277
67.382812	-13.133664
68.847656	-13.120425
70.312500	-13.076067
71.777344	-12.998228
73.242187	-12.966478
74.707031	-12.950505
76.171875	-12.958096
77.636719	-12.937150
79.101562	-12.963880
80.566406	-12.987593
82.031250	-13.013816
83.496094	-13.092181
84.960937	-13.128720
86.425781	-13.101901
87.890625	-13.127413
89.355469	-13.188766
90.820312	-13.247231
92.285156	-13.252110
93.750000	-13.267857
95.214844	-13.264657
96.679687	-13.274580
98.144531	-13.305017
99.609375	-13.343135
101.074219	-13.360729
102.539062	-13.339539
104.003906	-13.347408
105.468750	-13.334478
106.933594	-13.363053
108.398437	-13.365630
109.863281	-13.394714
111.328125	-13.403927
112.792969	-13.428295
114.257812	-13.421087
115.722656	-13.413433
117.187500	-13.372795
118.652344	-13.334802
120.117187	-13.305381
121.582031	-13.250738
123.046875	-13.128072
124.511719	-13.025983
125.976562	-12.919759
127.441406	-12.797218
128.906250	-12.659173
130.371094	-12.519389
131.835937	-12.364652
133.300781	-12.290451
134.765625	-12.292999
136.230469	-12.384483
137.695312	-12.531844
139.160156	-12.744179
140.625000	-12.944757
142.089844	-13.103428
143.554687	-13.240942
145.019531	-13.363534
146.484375	-13.501988
147.949219	-13.615777
149.414062	-13.648002
150.878906	-13.636974
152.343750	-13.479789
153.808594	-13.233812
155.273437	-13.099075
156.738281	-13.128278
158.203125	-13.316036
159.667969	-13.617553
161.132812	-13.892679
162.597656	-13.994277
164.062500	-14.029066
165.527344	-14.070766
166.992187	-14.084623
168.457031	-14.079475
169.921875	-14.050873
171.386719	-14.069551
172.851562	-14.086097
174.316406	-14.092733
175.781250	-14.074653
177.246094	-14.063791
178.710937	-14.056931
180.175781	-14.083661
181.640625	-14.110382
183.105469	-14.144027
184.570312	-14.173659
186.035156	-14.155708
187.500000	-14.139652
188.964844	-14.147297
190.429687	-14.167389
191.894531	-14.178568
193.359375	-14.142505
194.824219	-14.103831
196.289062	-14.101607
197.753906	-14.109450
199.218750	-14.105430
200.683594	-14.109907
202.148437	-14.119105
203.613281	-14.087661
205.078125	-14.055172
206.542969	-14.018887
208.007812	-13.994847
209.472656	-13.963614
210.937500	-13.959361
212.402344	-13.957267
213.867187	-13.937211
215.332031	-13.935772
216.796875	-13.901996
218.261719	-13.890167
219.726562	-13.869661
221.191406	-13.846103
222.656250	-13.815449
224.121094	-13.786795
225.585937	-13.778699
227.050781	-13.718123
228.515625	-13.654779
229.980469	-13.607879
231.445312	-13.576075
232.910156	-13.555349
234.375000	-13.520147
235.839844	-13.517618
237.304687	-13.523870
238.769531	-13.472987
240.234375	-13.437298
241.699219	-13.406060
243.164062	-13.385267
244.628906	-13.321739
246.093750	-13.257488
247.558594	-13.203691
249.023437	-13.129755
250.488281	-13.070089
251.953125	-13.000169
253.417969	-12.888941
254.882812	-12.765563
256.347656	-12.671007
257.812500	-12.567478
259.277344	-12.489387
260.742187	-12.463358
262.207031	-12.432431
263.671875	-12.388656
265.136719	-12.421525
266.601562	-12.487651
268.066406	-12.594349
269.531250	-12.703845
270.996094	-12.828438
272.460937	-12.942757
273.925781	-13.074122
275.390625	-13.156584
276.855469	-13.236177
278.320312	-13.299522
279.785156	-13.370012
281.250000	-13.460299
282.714844	-13.574666
284.179687	-13.691200
285.644531	-13.783516
287.109375	-13.856268
288.574219	-13.914269
290.039062	-13.946769
291.503906	-14.014599
292.968750	-14.077663
294.433594	-14.149465
295.898437	-14.236100
297.363281	-14.262204
298.828125	-14.266184
300.292969	-14.272692
301.757812	-14.330744
303.222656	-14.354396
304.687500	-14.391883
306.152344	-14.399557
307.617187	-14.390271
309.082031	-14.410644
310.546875	-14.427107
312.011719	-14.436334
313.476562	-14.437041
314.941406	-14.425438
316.406250	-14.427705
317.871094	-14.425842
319.335937	-14.441283
320.800781	-14.450375
322.265625	-14.462167
323.730469	-14.495142
325.195312	-14.515714
326.660156	-14.541597
328.125000	-14.558136
329.589844	-14.578225
331.054687	-14.581906
332.519531	-14.591280
333.984375	-14.585764
335.449219	-14.598069
336.914062	-14.613933
338.378906	-14.633276
339.843750	-14.665065
341.308594	-14.659248
342.773437	-14.640429
344.238281	-14.632112
345.703125	-14.617822
347.167969	-14.611264
348.632812	-14.641309
350.097656	-14.660642
351.562500	-14.619281
353.027344	-14.534310
354.492187	-14.443665
355.957031	-14.403463
357.421875	-14.453705
358.886719	-14.540013
360.351562	-14.641364
361.816406	-14.664403
363.281250	-14.714025
364.746094	-14.693820
366.210937	-14.689140
367.675781	-14.682541
369.140625	-14.670853
370.605469	-14.665893
372.070312	-14.658774
373.535156	-14.600896
375.000000	-14.555022
376.464844	-14.499309
377.929687	-14.469530
379.394531	-14.428519
380.859375	-14.378459
382.324219	-14.356952
383.789062	-14.319137
385.253906	-14.221169
386.718750	-14.099003
388.183594	-13.981991
389.648437	-13.885755
391.113281	-13.789302
392.578125	-13.748107
394.042969	-13.771959
395.507812	-13.859272
396.972656	-13.950613
398.437500	-14.038427
399.902344	-14.123366
401.367187	-14.210871
402.832031	-14.310908
404.296875	-14.354741
405.761719	-14.406953
407.226562	-14.424264
408.691406	-14.481697
410.156250	-14.529314
411.621094	-14.559544
413.085937	-14.560571
414.550781	-14.560803
416.015625	-14.577601
417.480469	-14.595367
418.945312	-14.644738
420.410156	-14.672001
421.875000	-14.671564
423.339844	-14.689527
424.804687	-14.702708
426.269531	-14.723340
427.734375	-14.705469
429.199219	-14.703034
430.664062	-14.693284
432.128906	-14.685581
433.593750	-14.690209
435.058594	-14.670939
436.523437	-14.652724
437.988281	-14.644587
439.453125	-14.635829
440.917969	-14.652165
442.382812	-14.674765
443.847656	-14.683736
445.312500	-14.654971
446.777344	-14.619726
448.242187	-14.586998
449.707031	-14.566737
451.171875	-14.535478
452.636719	-14.432967
454.101562	-14.293924
455.566406	-14.214021
457.031250	-14.232957
458.496094	-14.351987
459.960937	-14.470426
461.425781	-14.505813
462.890625	-14.536125
464.355469	-14.551915
465.820312	-14.515660
467.285156	-14.499620
468.750000	-14.493757
470.214844	-14.502638
471.679687	-14.490579
473.144531	-14.529689
474.609375	-14.565419
476.074219	-14.565305
477.539062	-14.571964
479.003906	-14.570821
480.468750	-14.582655
481.933594	-14.517703
483.398437	-14.515548
484.863281	-14.538808
486.328125	-14.565112
487.792969	-14.563450
489.257812	-14.565522
