# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.565864
313.476562	-14.758472
416.015625	-14.133769
520.019531	-15.143104
692.871094	-14.522397

# Spectral Data
f in Hz	A in dBV
0.000000	-14.786261
1.464844	-13.994775
2.929687	-13.319270
4.394531	-12.781394
5.859375	-12.320402
7.324219	-11.979750
8.789062	-11.777852
10.253906	-11.706060
11.718750	-11.741337
13.183594	-11.814136
14.648437	-11.953118
16.113281	-12.105328
17.578125	-12.272905
19.042969	-12.413303
20.507812	-12.538873
21.972656	-12.676343
23.437500	-12.804000
24.902344	-12.902215
26.367187	-12.947175
27.832031	-12.965767
29.296875	-12.999921
30.761719	-13.058221
32.226562	-13.110688
33.691406	-13.174348
35.156250	-13.243934
36.621094	-13.279473
38.085937	-13.278553
39.550781	-13.237737
41.015625	-13.223048
42.480469	-13.223853
43.945312	-13.287012
45.410156	-13.343625
46.875000	-13.398700
48.339844	-13.433784
49.804687	-13.393236
51.269531	-13.133518
52.734375	-12.771361
54.199219	-12.532121
55.664062	-12.436245
57.128906	-12.501351
58.593750	-12.721763
60.058594	-13.060430
61.523437	-13.355414
62.988281	-13.477843
64.453125	-13.492254
65.917969	-13.444883
67.382812	-13.391570
68.847656	-13.347873
70.312500	-13.339841
71.777344	-13.322078
73.242187	-13.270635
74.707031	-13.210739
76.171875	-13.197700
77.636719	-13.200331
79.101562	-13.213110
80.566406	-13.236492
82.031250	-13.244701
83.496094	-13.261234
84.960937	-13.324584
86.425781	-13.380823
87.890625	-13.419109
89.355469	-13.461660
90.820312	-13.482984
92.285156	-13.504121
93.750000	-13.489929
95.214844	-13.492111
96.679687	-13.486488
98.144531	-13.504665
99.609375	-13.553006
101.074219	-13.592536
102.539062	-13.656090
104.003906	-13.667544
105.468750	-13.653519
106.933594	-13.674049
108.398437	-13.728299
109.863281	-13.760179
111.328125	-13.772614
112.792969	-13.773541
114.257812	-13.739658
115.722656	-13.724240
117.187500	-13.691014
118.652344	-13.650651
120.117187	-13.626654
121.582031	-13.621516
123.046875	-13.601906
124.511719	-13.552277
125.976562	-13.499892
127.441406	-13.452708
128.906250	-13.391553
130.371094	-13.312843
131.835937	-13.160216
133.300781	-13.029723
134.765625	-12.832386
136.230469	-12.667778
137.695312	-12.540353
139.160156	-12.443407
140.625000	-12.449861
142.089844	-12.539753
143.554687	-12.669523
145.019531	-12.827882
146.484375	-13.029422
147.949219	-13.207884
149.414062	-13.413849
150.878906	-13.508083
152.343750	-13.491616
153.808594	-13.324825
155.273437	-13.237666
156.738281	-13.258037
158.203125	-13.448121
159.667969	-13.767550
161.132812	-14.100346
162.597656	-14.315995
164.062500	-14.419387
165.527344	-14.433589
166.992187	-14.461529
168.457031	-14.503316
169.921875	-14.529752
171.386719	-14.540799
172.851562	-14.564827
174.316406	-14.559966
175.781250	-14.567931
177.246094	-14.571542
178.710937	-14.576400
180.175781	-14.565864
181.640625	-14.610148
183.105469	-14.665872
184.570312	-14.664977
186.035156	-14.695699
187.500000	-14.696450
188.964844	-14.691754
190.429687	-14.666262
191.894531	-14.648673
193.359375	-14.617536
194.824219	-14.626310
196.289062	-14.622696
197.753906	-14.589404
199.218750	-14.541551
200.683594	-14.516187
202.148437	-14.478837
203.613281	-14.450772
205.078125	-14.460395
206.542969	-14.449854
208.007812	-14.454879
209.472656	-14.449188
210.937500	-14.462131
212.402344	-14.433944
213.867187	-14.392889
215.332031	-14.370648
216.796875	-14.329978
218.261719	-14.278709
219.726562	-14.236005
221.191406	-14.212456
222.656250	-14.192155
224.121094	-14.178765
225.585937	-14.121625
227.050781	-14.081795
228.515625	-14.007959
229.980469	-13.974215
231.445312	-13.957045
232.910156	-13.964932
234.375000	-13.963334
235.839844	-13.951751
237.304687	-13.929599
238.769531	-13.912196
240.234375	-13.874556
241.699219	-13.840483
243.164062	-13.792839
244.628906	-13.801282
246.093750	-13.784804
247.558594	-13.737515
249.023437	-13.720326
250.488281	-13.691640
251.953125	-13.643812
253.417969	-13.543691
254.882812	-13.468116
256.347656	-13.441534
257.812500	-13.415554
259.277344	-13.383670
260.742187	-13.340224
262.207031	-13.286359
263.671875	-13.203457
265.136719	-13.123123
266.601562	-13.053314
268.066406	-13.002615
269.531250	-12.927325
270.996094	-12.819858
272.460937	-12.759024
273.925781	-12.728645
275.390625	-12.690910
276.855469	-12.693444
278.320312	-12.707906
279.785156	-12.785424
281.250000	-12.854912
282.714844	-12.964520
284.179687	-13.088832
285.644531	-13.212004
287.109375	-13.353085
288.574219	-13.519035
290.039062	-13.680928
291.503906	-13.822818
292.968750	-13.934344
294.433594	-14.024626
295.898437	-14.119448
297.363281	-14.231697
298.828125	-14.338947
300.292969	-14.412548
301.757812	-14.478974
303.222656	-14.479082
