# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.604257
294.433594	-13.801034
399.902344	-15.254168
499.511719	-15.200787
704.589844	-14.471336

# Spectral Data
f in Hz	A in dBV
0.000000	-14.753298
1.464844	-13.996279
2.929687	-13.381101
4.394531	-12.882027
5.859375	-12.431011
7.324219	-12.106439
8.789062	-11.908959
10.253906	-11.822720
11.718750	-11.838874
13.183594	-11.885553
14.648437	-11.995522
16.113281	-12.149307
17.578125	-12.313075
19.042969	-12.438423
20.507812	-12.579133
21.972656	-12.674721
23.437500	-12.813546
24.902344	-12.894101
26.367187	-12.951914
27.832031	-13.000902
29.296875	-13.028729
30.761719	-13.090149
32.226562	-13.129958
33.691406	-13.185345
35.156250	-13.234843
36.621094	-13.305507
38.085937	-13.378138
39.550781	-13.398267
41.015625	-13.421141
42.480469	-13.448131
43.945312	-13.482935
45.410156	-13.544503
46.875000	-13.568751
48.339844	-13.565903
49.804687	-13.486591
51.269531	-13.237809
52.734375	-12.851216
54.199219	-12.576459
55.664062	-12.468218
57.128906	-12.519585
58.593750	-12.720363
60.058594	-13.037326
61.523437	-13.334388
62.988281	-13.515841
64.453125	-13.562432
65.917969	-13.514333
67.382812	-13.490843
68.847656	-13.476454
70.312500	-13.430966
71.777344	-13.397524
73.242187	-13.401141
74.707031	-13.390553
76.171875	-13.373086
77.636719	-13.341439
79.101562	-13.342311
80.566406	-13.334596
82.031250	-13.361785
83.496094	-13.384783
84.960937	-13.423160
86.425781	-13.462095
87.890625	-13.500598
89.355469	-13.523354
90.820312	-13.543830
92.285156	-13.564426
93.750000	-13.591114
95.214844	-13.620519
96.679687	-13.649967
98.144531	-13.673309
99.609375	-13.666982
101.074219	-13.680435
102.539062	-13.698534
104.003906	-13.731672
105.468750	-13.722955
106.933594	-13.740081
108.398437	-13.752827
109.863281	-13.806700
111.328125	-13.853203
112.792969	-13.905863
114.257812	-13.895443
115.722656	-13.868721
117.187500	-13.834986
118.652344	-13.794146
120.117187	-13.781923
121.582031	-13.759361
123.046875	-13.756068
124.511719	-13.713001
125.976562	-13.653949
127.441406	-13.610925
128.906250	-13.573868
130.371094	-13.547759
131.835937	-13.474952
133.300781	-13.419198
134.765625	-13.354040
136.230469	-13.237340
137.695312	-13.057070
139.160156	-12.858074
140.625000	-12.676753
142.089844	-12.558281
143.554687	-12.532661
145.019531	-12.592208
146.484375	-12.732085
147.949219	-12.911487
149.414062	-13.114899
150.878906	-13.301119
152.343750	-13.310670
153.808594	-13.203009
155.273437	-13.123497
156.738281	-13.165414
158.203125	-13.350766
159.667969	-13.674178
161.132812	-14.006990
162.597656	-14.226868
164.062500	-14.328043
165.527344	-14.391164
166.992187	-14.437596
168.457031	-14.463024
169.921875	-14.472306
171.386719	-14.482385
172.851562	-14.501521
174.316406	-14.546653
175.781250	-14.574998
177.246094	-14.608031
178.710937	-14.631566
180.175781	-14.604257
181.640625	-14.613562
183.105469	-14.659952
184.570312	-14.697429
186.035156	-14.730554
187.500000	-14.741642
188.964844	-14.763687
190.429687	-14.727289
191.894531	-14.714040
193.359375	-14.669547
194.824219	-14.668339
196.289062	-14.650266
197.753906	-14.625657
199.218750	-14.603094
200.683594	-14.572018
202.148437	-14.545204
203.613281	-14.541689
205.078125	-14.548845
206.542969	-14.572461
208.007812	-14.554992
209.472656	-14.539047
210.937500	-14.540131
212.402344	-14.529526
213.867187	-14.493820
215.332031	-14.476066
216.796875	-14.456691
218.261719	-14.409089
219.726562	-14.340123
221.191406	-14.318946
222.656250	-14.301923
224.121094	-14.238535
225.585937	-14.213694
227.050781	-14.178521
228.515625	-14.153322
229.980469	-14.134538
231.445312	-14.108515
232.910156	-14.067130
234.375000	-14.066191
235.839844	-14.058060
237.304687	-14.077674
238.769531	-14.081667
240.234375	-14.038186
241.699219	-14.012912
243.164062	-14.003679
244.628906	-13.976413
246.093750	-13.974251
247.558594	-13.949600
249.023437	-13.919710
250.488281	-13.865488
251.953125	-13.794860
253.417969	-13.668241
254.882812	-13.574441
256.347656	-13.521395
257.812500	-13.522305
259.277344	-13.523168
260.742187	-13.530818
262.207031	-13.494081
263.671875	-13.458364
265.136719	-13.391118
266.601562	-13.336932
268.066406	-13.308760
269.531250	-13.249975
270.996094	-13.201601
272.460937	-13.176203
273.925781	-13.107334
275.390625	-12.996997
276.855469	-12.918904
