# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.311875
294.433594	-14.116071
399.902344	-14.021503
499.511719	-14.802840
704.589844	-14.989271

# Spectral Data
f in Hz	A in dBV
0.000000	-14.366581
1.464844	-13.618728
2.929687	-13.003193
4.394531	-12.505718
5.859375	-12.112033
7.324219	-11.821078
8.789062	-11.647310
10.253906	-11.567810
11.718750	-11.586154
13.183594	-11.664953
14.648437	-11.775651
16.113281	-11.919756
17.578125	-12.071591
19.042969	-12.226175
20.507812	-12.368175
21.972656	-12.495395
23.437500	-12.598305
24.902344	-12.633424
26.367187	-12.658188
27.832031	-12.710416
29.296875	-12.767125
30.761719	-12.819319
32.226562	-12.878095
33.691406	-12.940444
35.156250	-13.004323
36.621094	-13.065438
38.085937	-13.114166
39.550781	-13.153723
41.015625	-13.200399
42.480469	-13.239363
43.945312	-13.266943
45.410156	-13.276033
46.875000	-13.280980
48.339844	-13.262205
49.804687	-13.122295
51.269531	-12.800386
52.734375	-12.407997
54.199219	-12.142184
55.664062	-12.038127
57.128906	-12.093558
58.593750	-12.302740
60.058594	-12.671901
61.523437	-13.058980
62.988281	-13.225101
64.453125	-13.231897
65.917969	-13.198975
67.382812	-13.149292
68.847656	-13.099981
70.312500	-13.062864
71.777344	-13.031518
73.242187	-13.032078
74.707031	-13.026009
76.171875	-13.012623
77.636719	-12.999905
79.101562	-12.995779
80.566406	-13.034495
82.031250	-13.088540
83.496094	-13.144419
84.960937	-13.191239
86.425781	-13.213833
87.890625	-13.250135
89.355469	-13.300541
90.820312	-13.335678
92.285156	-13.359102
93.750000	-13.372869
95.214844	-13.388614
96.679687	-13.390589
98.144531	-13.394901
99.609375	-13.408170
101.074219	-13.421012
102.539062	-13.421555
104.003906	-13.420425
105.468750	-13.428759
106.933594	-13.462080
108.398437	-13.498282
109.863281	-13.557694
111.328125	-13.545967
112.792969	-13.531440
114.257812	-13.491670
115.722656	-13.473534
117.187500	-13.468704
118.652344	-13.438812
120.117187	-13.393233
121.582031	-13.346575
123.046875	-13.288487
124.511719	-13.238136
125.976562	-13.196302
127.441406	-13.099213
128.906250	-13.016166
130.371094	-12.904399
131.835937	-12.768318
133.300781	-12.632714
134.765625	-12.482376
136.230469	-12.373302
137.695312	-12.321379
139.160156	-12.337307
140.625000	-12.419077
142.089844	-12.566932
143.554687	-12.768507
145.019531	-12.964641
146.484375	-13.145377
147.949219	-13.289854
149.414062	-13.364368
150.878906	-13.370150
152.343750	-13.125127
153.808594	-12.836298
155.273437	-12.696240
156.738281	-12.705099
158.203125	-12.886190
159.667969	-13.231337
161.132812	-13.692160
162.597656	-14.037250
164.062500	-14.134801
165.527344	-14.177941
166.992187	-14.189226
168.457031	-14.224373
169.921875	-14.255426
171.386719	-14.264193
172.851562	-14.273958
174.316406	-14.288735
175.781250	-14.301619
177.246094	-14.305465
178.710937	-14.321832
180.175781	-14.311875
181.640625	-14.304749
183.105469	-14.309090
184.570312	-14.321863
186.035156	-14.349422
187.500000	-14.370038
188.964844	-14.365759
190.429687	-14.373710
191.894531	-14.366374
193.359375	-14.364279
194.824219	-14.344292
196.289062	-14.319364
197.753906	-14.301372
199.218750	-14.286608
200.683594	-14.265624
202.148437	-14.248162
203.613281	-14.234739
205.078125	-14.229824
206.542969	-14.217433
208.007812	-14.201737
209.472656	-14.203376
210.937500	-14.187250
212.402344	-14.188281
213.867187	-14.152606
215.332031	-14.140865
216.796875	-14.108365
218.261719	-14.070010
219.726562	-14.057797
221.191406	-14.038115
222.656250	-14.000869
224.121094	-13.957777
225.585937	-13.924444
227.050781	-13.890800
228.515625	-13.848406
229.980469	-13.834796
231.445312	-13.770600
232.910156	-13.737513
234.375000	-13.715176
235.839844	-13.684198
237.304687	-13.658016
238.769531	-13.638296
240.234375	-13.639928
241.699219	-13.656816
243.164062	-13.621484
244.628906	-13.581287
246.093750	-13.541077
247.558594	-13.501581
249.023437	-13.435705
250.488281	-13.366697
251.953125	-13.262894
253.417969	-13.155816
254.882812	-13.047204
256.347656	-13.011467
257.812500	-12.997308
259.277344	-12.980587
260.742187	-12.926136
262.207031	-12.870125
263.671875	-12.812139
