# Cursors in Graph
f in Hz	A in dBV
180.175781	-13.756994
294.433594	-13.483370
399.902344	-13.779854
499.511719	-14.060792
704.589844	-14.134169

# Spectral Data
f in Hz	A in dBV
0.000000	-14.712514
1.464844	-13.979641
2.929687	-13.413266
4.394531	-13.010944
5.859375	-12.703805
7.324219	-12.509096
8.789062	-12.428735
10.253906	-12.440696
11.718750	-12.547943
13.183594	-12.706219
14.648437	-12.897759
16.113281	-13.049136
17.578125	-13.078692
19.042969	-13.086283
20.507812	-13.066406
21.972656	-13.039495
23.437500	-13.009597
24.902344	-12.893603
26.367187	-12.674588
27.832031	-12.469512
29.296875	-12.329027
30.761719	-12.243984
32.226562	-12.214506
33.691406	-12.232771
35.156250	-12.332641
36.621094	-12.486342
38.085937	-12.719542
39.550781	-12.947473
41.015625	-13.115323
42.480469	-13.204012
43.945312	-13.169822
45.410156	-13.124431
46.875000	-13.079020
48.339844	-13.011209
49.804687	-12.721130
51.269531	-12.172215
52.734375	-11.723788
54.199219	-11.451926
55.664062	-11.343317
57.128906	-11.399717
58.593750	-11.622220
60.058594	-12.020898
61.523437	-12.601396
62.988281	-13.060239
64.453125	-13.221956
65.917969	-13.279686
67.382812	-13.315904
68.847656	-13.348925
70.312500	-13.382984
71.777344	-13.458326
73.242187	-13.571300
74.707031	-13.677417
76.171875	-13.785609
77.636719	-13.852995
79.101562	-13.890590
80.566406	-13.942895
82.031250	-14.004941
83.496094	-14.043051
84.960937	-14.099585
86.425781	-14.158295
87.890625	-14.212901
89.355469	-14.246515
90.820312	-14.294870
92.285156	-14.326008
93.750000	-14.360410
95.214844	-14.401979
96.679687	-14.393919
98.144531	-14.324184
99.609375	-14.215057
101.074219	-14.101139
102.539062	-13.994312
104.003906	-13.932218
105.468750	-13.922394
106.933594	-13.878397
108.398437	-13.791686
109.863281	-13.706149
111.328125	-13.612877
112.792969	-13.505287
114.257812	-13.390090
115.722656	-13.268408
117.187500	-13.194836
118.652344	-13.157520
120.117187	-13.168478
121.582031	-13.198985
123.046875	-13.235920
124.511719	-13.221539
125.976562	-13.194393
127.441406	-13.198960
128.906250	-13.237879
130.371094	-13.295938
131.835937	-13.347746
133.300781	-13.302274
134.765625	-13.243262
136.230469	-13.243847
137.695312	-13.286532
139.160156	-13.368040
140.625000	-13.386654
142.089844	-13.373646
143.554687	-13.382118
145.019531	-13.414928
146.484375	-13.424823
147.949219	-13.435950
149.414062	-13.239759
150.878906	-12.821554
152.343750	-12.420538
153.808594	-12.120938
155.273437	-11.970742
156.738281	-11.982574
158.203125	-12.151278
159.667969	-12.487900
161.132812	-12.965107
162.597656	-13.507963
164.062500	-13.794256
165.527344	-13.857500
166.992187	-13.882693
168.457031	-13.912847
169.921875	-13.923772
171.386719	-13.892949
172.851562	-13.851102
174.316406	-13.842050
175.781250	-13.824982
177.246094	-13.800952
178.710937	-13.770536
180.175781	-13.756994
181.640625	-13.743287
183.105469	-13.741520
184.570312	-13.783619
186.035156	-13.854549
187.500000	-13.931672
188.964844	-13.918498
190.429687	-13.906378
191.894531	-13.874127
193.359375	-13.867694
194.824219	-13.886840
196.289062	-13.954903
197.753906	-14.020747
199.218750	-14.070809
200.683594	-14.073555
202.148437	-14.056627
203.613281	-14.044745
205.078125	-14.043106
206.542969	-14.001573
208.007812	-13.969830
209.472656	-13.897244
210.937500	-13.845661
212.402344	-13.849209
213.867187	-13.874827
215.332031	-13.903530
216.796875	-13.947443
218.261719	-13.950838
219.726562	-13.930348
221.191406	-13.901936
222.656250	-13.868087
224.121094	-13.851530
225.585937	-13.851587
227.050781	-13.875671
228.515625	-13.888331
229.980469	-13.892053
231.445312	-13.832728
232.910156	-13.749671
234.375000	-13.640859
235.839844	-13.531854
237.304687	-13.470286
238.769531	-13.430469
240.234375	-13.421328
241.699219	-13.449619
243.164062	-13.483843
244.628906	-13.467391
246.093750	-13.470442
247.558594	-13.482710
249.023437	-13.509135
250.488281	-13.444105
251.953125	-13.169154
253.417969	-12.887225
254.882812	-12.705609
256.347656	-12.679576
257.812500	-12.788394
259.277344	-13.034625
260.742187	-13.346342
262.207031	-13.549651
263.671875	-13.572687
265.136719	-13.587213
266.601562	-13.610896
268.066406	-13.640644
269.531250	-13.672216
270.996094	-13.701156
272.460937	-13.729065
273.925781	-13.765206
275.390625	-13.799509
276.855469	-13.828469
278.320312	-13.831769
279.785156	-13.822749
281.250000	-13.811608
282.714844	-13.789869
284.179687	-13.778870
285.644531	-13.747860
287.109375	-13.677258
288.574219	-13.602973
290.039062	-13.530092
291.503906	-13.486035
292.968750	-13.474405
294.433594	-13.483370
295.898437	-13.502642
297.363281	-13.536834
298.828125	-13.599338
300.292969	-13.697547
301.757812	-13.761828
303.222656	-13.806228
304.687500	-13.839741
306.152344	-13.816032
307.617187	-13.785402
309.082031	-13.817402
310.546875	-13.858342
312.011719	-13.884679
313.476562	-13.925876
314.941406	-13.961453
316.406250	-13.953469
317.871094	-13.968960
319.335937	-13.968413
320.800781	-13.943124
322.265625	-13.940938
323.730469	-13.935271
325.195312	-13.944183
326.660156	-13.948550
328.125000	-13.984652
329.589844	-14.053926
331.054687	-14.125418
332.519531	-14.145453
333.984375	-14.168042
335.449219	-14.159967
336.914062	-14.194513
338.378906	-14.183732
339.843750	-14.163090
341.308594	-14.122769
342.773437	-14.117899
344.238281	-14.083862
345.703125	-14.046181
347.167969	-14.000230
