time (s)	Red-Voltage	IR-Voltage
0,000000	 0,006269	 0,004224
0,010000	 0,006222	 0,004252
0,020000	 0,006276	 0,004211
0,030000	 0,006263	 0,004217
0,040000	 0,006292	 0,004237
0,050000	 0,006287	 0,004286
0,060000	 0,006278	 0,004260
0,070000	 0,006254	 0,004304
0,080000	 0,006284	 0,004231
0,090000	 0,006263	 0,004243
0,100000	 0,006312	 0,004275
0,110000	 0,006308	 0,004314
0,120000	 0,006315	 0,004302
0,130000	 0,006280	 0,004316
0,140000	 0,006337	 0,004272
0,150000	 0,006328	 0,004299
0,160000	 0,006375	 0,004290
0,170000	 0,006373	 0,004344
0,180000	 0,006342	 0,004366
0,190000	 0,006341	 0,004355
0,200000	 0,006351	 0,004314
0,210000	 0,006358	 0,004360
0,220000	 0,006372	 0,004330
0,230000	 0,006394	 0,004382
0,240000	 0,006364	 0,004401
0,250000	 0,006395	 0,004399
0,260000	 0,006363	 0,004355
0,270000	 0,006361	 0,004335
0,280000	 0,006305	 0,004196
0,290000	 0,006290	 0,004189
0,300000	 0,006235	 0,004200
0,310000	 0,006254	 0,004176
0,320000	 0,006250	 0,004170
0,330000	 0,006285	 0,004174
0,340000	 0,006235	 0,004126
0,350000	 0,006250	 0,004169
0,360000	 0,006218	 0,004199
0,370000	 0,006289	 0,004198
0,380000	 0,006240	 0,004198
0,390000	 0,006276	 0,004178
0,400000	 0,006236	 0,004165
0,410000	 0,006273	 0,004218
0,420000	 0,006264	 0,004249
0,430000	 0,006284	 0,004231
0,440000	 0,006253	 0,004232
0,450000	 0,006315	 0,004210
0,460000	 0,006259	 0,004189
0,470000	 0,006297	 0,004221
0,480000	 0,006290	 0,004229
0,490000	 0,006286	 0,004255
0,500000	 0,006263	 0,004230
0,510000	 0,006317	 0,004174
0,520000	 0,006262	 0,004192
0,530000	 0,006304	 0,004214
0,540000	 0,006282	 0,004199
0,550000	 0,006302	 0,004251
0,560000	 0,006273	 0,004226
0,570000	 0,006316	 0,004198
0,580000	 0,006285	 0,004238
0,590000	 0,006331	 0,004244
0,600000	 0,006299	 0,004266
0,610000	 0,006359	 0,004292
0,620000	 0,006324	 0,004290
0,630000	 0,006356	 0,004254
0,640000	 0,006322	 0,004265
0,650000	 0,006378	 0,004279
0,660000	 0,006337	 0,004302
0,670000	 0,006363	 0,004315
0,680000	 0,006347	 0,004293
0,690000	 0,006377	 0,004280
0,700000	 0,006335	 0,004298
0,710000	 0,006382	 0,004293
0,720000	 0,006336	 0,004311
0,730000	 0,006414	 0,004360
0,740000	 0,006370	 0,004331
0,750000	 0,006384	 0,004292
0,760000	 0,006347	 0,004315
0,770000	 0,006402	 0,004314
0,780000	 0,006352	 0,004350
0,790000	 0,006424	 0,004365
0,800000	 0,006383	 0,004349
0,810000	 0,006402	 0,004335
0,820000	 0,006370	 0,004316
0,830000	 0,006425	 0,004355
0,840000	 0,006391	 0,004403
0,850000	 0,006463	 0,004400
0,860000	 0,006411	 0,004391
0,870000	 0,006448	 0,004401
0,880000	 0,006413	 0,004363
0,890000	 0,006449	 0,004375
0,900000	 0,006393	 0,004420
0,910000	 0,006448	 0,004378
0,920000	 0,006371	 0,004326
0,930000	 0,006381	 0,004287
0,940000	 0,006323	 0,004181
0,950000	 0,006316	 0,004199
0,960000	 0,006265	 0,004225
0,970000	 0,006307	 0,004189
0,980000	 0,006256	 0,004179
0,990000	 0,006292	 0,004194
1,000000	 0,006313	 0,004171
1,010000	 0,006311	 0,004236
1,020000	 0,006318	 0,004248
1,030000	 0,006298	 0,004229
1,040000	 0,006299	 0,004194
1,050000	 0,006305	 0,004212
1,060000	 0,006311	 0,004187
1,070000	 0,006283	 0,004245
1,080000	 0,006307	 0,004222
1,090000	 0,006298	 0,004231
1,100000	 0,006318	 0,004213
1,110000	 0,006340	 0,004218
1,120000	 0,006318	 0,004235
1,130000	 0,006335	 0,004285
1,140000	 0,006348	 0,004249
1,150000	 0,006294	 0,004227
1,160000	 0,006310	 0,004200
1,170000	 0,006315	 0,004206
1,180000	 0,006318	 0,004241
1,190000	 0,006322	 0,004278
1,200000	 0,006324	 0,004222
1,210000	 0,006282	 0,004240
1,220000	 0,006312	 0,004199
1,230000	 0,006320	 0,004212
1,240000	 0,006346	 0,004260
1,250000	 0,006354	 0,004308
1,260000	 0,006358	 0,004269
1,270000	 0,006308	 0,004273
1,280000	 0,006353	 0,004226
1,290000	 0,006333	 0,004247
1,300000	 0,006365	 0,004278
1,310000	 0,006379	 0,004325
1,320000	 0,006393	 0,004312
1,330000	 0,006310	 0,004298
1,340000	 0,006345	 0,004266
1,350000	 0,006335	 0,004274
1,360000	 0,006402	 0,004317
1,370000	 0,006381	 0,004331
1,380000	 0,006388	 0,004294
1,390000	 0,006334	 0,004294
1,400000	 0,006373	 0,004268
1,410000	 0,006332	 0,004321
1,420000	 0,006416	 0,004328
1,430000	 0,006386	 0,004358
1,440000	 0,006399	 0,004348
1,450000	 0,006364	 0,004319
1,460000	 0,006394	 0,004271
