time (s)	Red-Voltage	IR-Voltage
0,000000	 0,019004	 0,010397
0,010000	 0,019016	 0,010423
0,020000	 0,018995	 0,010395
0,030000	 0,019056	 0,010425
0,040000	 0,019047	 0,010385
0,050000	 0,019107	 0,010490
0,060000	 0,019035	 0,010549
0,070000	 0,019121	 0,010534
0,080000	 0,019072	 0,010645
0,090000	 0,019187	 0,010583
0,100000	 0,019028	 0,010456
0,110000	 0,019143	 0,010353
0,120000	 0,019090	 0,010295
0,130000	 0,018993	 0,009964
0,140000	 0,018952	 0,010085
0,150000	 0,018937	 0,010031
0,160000	 0,018759	 0,009951
0,170000	 0,018757	 0,009894
0,180000	 0,018834	 0,009891
0,190000	 0,018686	 0,009858
0,200000	 0,018794	 0,009995
0,210000	 0,018755	 0,010051
0,220000	 0,018803	 0,010073
0,230000	 0,018779	 0,010130
0,240000	 0,018915	 0,010109
0,250000	 0,018755	 0,010159
0,260000	 0,018911	 0,010177
0,270000	 0,018910	 0,010241
0,280000	 0,019005	 0,010223
0,290000	 0,018986	 0,010355
0,300000	 0,019027	 0,010286
0,310000	 0,018858	 0,010218
0,320000	 0,018935	 0,010145
0,330000	 0,018930	 0,010141
0,340000	 0,018877	 0,010128
0,350000	 0,018968	 0,010204
0,360000	 0,018905	 0,010252
0,370000	 0,018934	 0,010232
0,380000	 0,018917	 0,010292
0,390000	 0,019006	 0,010266
0,400000	 0,018818	 0,010286
0,410000	 0,018957	 0,010212
0,420000	 0,018941	 0,010299
0,430000	 0,019005	 0,010323
0,440000	 0,019023	 0,010450
0,450000	 0,019024	 0,010456
0,460000	 0,019022	 0,010506
0,470000	 0,019032	 0,010459
0,480000	 0,019087	 0,010463
0,490000	 0,019051	 0,010459
0,500000	 0,019142	 0,010519
0,510000	 0,019046	 0,010625
0,520000	 0,019163	 0,010497
0,530000	 0,019096	 0,010487
0,540000	 0,019107	 0,010299
0,550000	 0,018834	 0,010037
0,560000	 0,018878	 0,009904
0,570000	 0,018817	 0,009941
0,580000	 0,018787	 0,009783
0,590000	 0,018771	 0,009901
0,600000	 0,018664	 0,009959
0,610000	 0,018727	 0,009952
0,620000	 0,018676	 0,009969
0,630000	 0,018762	 0,009946
0,640000	 0,018699	 0,010001
0,650000	 0,018807	 0,010009
0,660000	 0,018760	 0,010130
0,670000	 0,018899	 0,010159
0,680000	 0,018861	 0,010337
0,690000	 0,018952	 0,010326
0,700000	 0,018867	 0,010287
0,710000	 0,018883	 0,010227
0,720000	 0,018952	 0,010205
0,730000	 0,018869	 0,010109
0,740000	 0,018926	 0,010183
0,750000	 0,018863	 0,010219
0,760000	 0,018924	 0,010184
0,770000	 0,018870	 0,010247
0,780000	 0,018982	 0,010173
0,790000	 0,018792	 0,010193
0,800000	 0,018893	 0,010165
0,810000	 0,018882	 0,010225
0,820000	 0,018934	 0,010222
0,830000	 0,018948	 0,010395
0,840000	 0,019010	 0,010385
0,850000	 0,018884	 0,010410
0,860000	 0,018932	 0,010346
0,870000	 0,019013	 0,010384
0,880000	 0,019016	 0,010407
0,890000	 0,019058	 0,010522
0,900000	 0,019005	 0,010556
0,910000	 0,019038	 0,010582
0,920000	 0,019031	 0,010581
0,930000	 0,019135	 0,010538
0,940000	 0,019035	 0,010449
0,950000	 0,019165	 0,010346
0,960000	 0,019025	 0,010279
0,970000	 0,018907	 0,010019
0,980000	 0,018857	 0,010050
0,990000	 0,018900	 0,009952
1,000000	 0,018669	 0,009889
1,010000	 0,018763	 0,009803
1,020000	 0,018697	 0,009863
1,030000	 0,018723	 0,009881
1,040000	 0,018720	 0,009990
1,050000	 0,018722	 0,009985
1,060000	 0,018681	 0,010098
1,070000	 0,018727	 0,010051
1,080000	 0,018800	 0,010077
1,090000	 0,018835	 0,010161
1,100000	 0,018937	 0,010268
1,110000	 0,018891	 0,010321
1,120000	 0,018958	 0,010333
1,130000	 0,018917	 0,010288
1,140000	 0,018978	 0,010229
